SubjectId;Female_nCorrectAnswers;Male_nCorrectAnswers;Description
32;10;13;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Other Graphs(158) - Similarity and Congruency(272) - Equation of a Circle(159) - Length, Area and Volume Scale Factors(273)"
33;4;4;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Solving Equations(154) - 2D Names and Properties of Shapes(174) - Perimeter and Area(178) - Linear Equations(64) - Area of Simple Shapes(75) - Properties of Quadrilaterals(88)"
34;17;23;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Solving Equations(154) - Formula(156) - 2D Names and Properties of Shapes(174) - Linear Equations(64) - Substitution into Formula(67) - Properties of Triangles(175)"
35;6;2;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Straight Line Graphs(54) - Transformations(278) - Reflection(92) - Plotting Lines from Tables of Values(257)"
36;7;14;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Volume and Surface Area(100) - Formula(156) - Rearranging Formula and Equations(60) - Volume of Non-Prisms(1649)"
37;60;53;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Writing and Simplifying Expressions(62) - Factorising(153) - Perimeter and Area(178) - Factorising into a Single Bracket(52) - Writing Expressions(70) - Perimeter(86)"
38;101;96;"Maths(3) - Algebra(49) - Inequalities(59) - Graphing Linear Inequalities (Shading Regions)(167)"
39;957;1174;"Maths(3) - Algebra(49) - Inequalities(59) - Inequalities on Number Lines(165)"
40;472;653;"Maths(3) - Algebra(49) - Inequalities(59) - Solving Linear Inequalities(166)"
41;124;116;"Maths(3) - Algebra(49) - Inequalities(59) - Solving Quadratic Inequalities(168)"
42;351;388;"Maths(3) - Algebra(49) - Other Graphs(158) - Cubics and Reciprocals(57)"
43;207;271;"Maths(3) - Algebra(49) - Other Graphs(158) - Equation of a Circle(159)"
44;110;119;"Maths(3) - Algebra(49) - Other Graphs(158) - Graphs of Exponentials and Other Powers of x(160)"
45;62;58;"Maths(3) - Algebra(49) - Other Graphs(158) - Graphs of Trigonometric Functions(56)"
46;98;112;"Maths(3) - Algebra(49) - Other Graphs(158) - Other Graphs-Others(1212)"
47;1015;1040;"Maths(3) - Algebra(49) - Other Graphs(158) - Real Life Graphs(58)"
48;84;97;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Graphical Solution of Quadratic Equations(268)"
49;414;443;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Plotting Quadratics from Tables of Values(265)"
50;140;139;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Sketching from Completing the Square Form(267)"
51;300;328;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Sketching from Factorised Form(266)"
52;72;46;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Solving Equations(154) - Quadratic Equations(65) - Graphical Solution of Quadratic Equations(268)"
53;14;14;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Transformation of Functions(68) - Transformations of functions in the form y =(163) - Quadratic Graphs-Others(1171)"
54;19;19;"Maths(3) - Algebra(49) - Quadratic Graphs(55) - Transformation of Functions(68) - Transformations of functions in the form y =(163) - Sketching from Factorised Form(266)"
55;29;20;"Maths(3) - Algebra(49) - Sequences(61) - Linear Sequences (nth term)(171) - Other Sequences(173)"
56;2983;3216;"Maths(3) - Algebra(49) - Sequences(61) - Linear Sequences (nth term)(171)"
57;999;1049;"Maths(3) - Algebra(49) - Sequences(61) - Other Sequences(173)"
58;292;276;"Maths(3) - Algebra(49) - Sequences(61) - Quadratic Sequences(172)"
59;2;1;"Maths(3) - Algebra(49) - Solving Equations(154) - Formula(156) - Quadratic Equations(65) - Substitution into Formula(67)"
60;336;276;"Maths(3) - Algebra(49) - Solving Equations(154) - Function Machines(649)"
61;22;20;"Maths(3) - Algebra(49) - Solving Equations(154) - Linear Equations(64) - Function Machines(649)"
62;3663;3557;"Maths(3) - Algebra(49) - Solving Equations(154) - Linear Equations(64)"
63;885;749;"Maths(3) - Algebra(49) - Solving Equations(154) - Quadratic Equations(65)"
64;1551;1319;"Maths(3) - Algebra(49) - Solving Equations(154) - Simultaneous Equations(63)"
65;18;19;"Maths(3) - Algebra(49) - Solving Equations(154) - Solving Other Powers of x(66)"
66;207;143;"Maths(3) - Algebra(49) - Solving Equations(154) - Trial and Improvement and Iterative Methods(69)"
67;51;45;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Co-ordinate Geometry with Straight Lines(656)"
68;21;25;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Co-ordinates(81) - Finding the Equation of a Line(259) - Gradient Between Two Co-ordinates(409)"
69;27;27;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Co-ordinates(81) - Gradient as change in y over change in x(261) - Gradient Between Two Co-ordinates(409)"
70;50;54;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Finding the Equation of a Line(259) - Gradient as change in y over change in x(261)"
71;240;253;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Finding the Equation of a Line(259)"
72;33;35;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Finding the Gradient and Intercept of a Line from the Equation(260) - Parallel Lines(262)"
73;;1;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Finding the Gradient and Intercept of a Line from the Equation(260) - Perpendicular Lines(263)"
74;363;336;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Finding the Gradient and Intercept of a Line from the Equation(260)"
75;35;59;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Gradient as change in y over change in x(261)"
76;247;230;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Graphical Solution of Simultaneous Equations(264)"
77;220;229;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Horizontal and Vertical Lines(258)"
78;44;60;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Other Graphs(158) - Equation of a Circle(159) - Graphical Solution of Simultaneous Equations(264)"
79;23;34;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Other Graphs(158) - Equation of a Circle(159) - Perpendicular Lines(263)"
80;8;16;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Other Graphs(158) - Real Life Graphs(58) - Gradient as change in y over change in x(261)"
81;7;8;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Parallel Lines(262) - Perpendicular Lines(263)"
82;75;63;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Parallel Lines(262)"
83;6;6;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Perpendicular Lines(263) - Co-ordinate Geometry with Straight Lines(656)"
84;120;112;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Perpendicular Lines(263)"
85;472;465;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Plotting Lines from Tables of Values(257)"
86;8;12;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Quadratic Graphs(55) - Horizontal and Vertical Lines(258) - Sketching from Factorised Form(266)"
87;27;38;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Solving Equations(154) - Linear Equations(64) - Graphical Solution of Simultaneous Equations(264)"
89;21;23;"Maths(3) - Algebra(49) - Straight Line Graphs(54) - Solving Equations(154) - Simultaneous Equations(63) - Graphical Solution of Simultaneous Equations(264)"
90;45;58;"Maths(3) - Algebra(49) - Transformation of Functions(68) - Other Graphs(158) - Cubics and Reciprocals(57) - Transformations of functions in the form y =(163)"
91;26;28;"Maths(3) - Algebra(49) - Transformation of Functions(68) - Other Graphs(158) - Graphs of Trigonometric Functions(56) - Transformations of functions in the form f(x)(164)"
92;76;83;"Maths(3) - Algebra(49) - Transformation of Functions(68) - Other Graphs(158) - Graphs of Trigonometric Functions(56) - Transformations of functions in the form y =(163)"
93;82;154;"Maths(3) - Algebra(49) - Transformation of Functions(68) - Transformation of Functions-Others(1175)"
94;12;22;"Maths(3) - Algebra(49) - Transformation of Functions(68) - Transformations of functions in the form f(x)(164)"
95;70;96;"Maths(3) - Algebra(49) - Transformation of Functions(68) - Transformations of functions in the form y =(163)"
96;98;94;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Algebraic Fractions(255) - Dividing Terms(253) - Simplifying Algebraic Fractions(1077)"
97;54;45;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Algebraic Proof(1081)"
98;82;54;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Dividing Terms(253)"
99;58;61;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Expanding Brackets(152) - Expanding Single Brackets(50) - Simplifying Expressions by Collecting Like Terms(251)"
100;4;12;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Formula(156) - Writing Expressions(70) - Writing Formula(157)"
101;27;27;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Multiplying Terms(252) - Dividing Terms(253)"
102;120;128;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Multiplying Terms(252)"
103;1789;1510;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Simplifying Expressions by Collecting Like Terms(251)"
104;29;40;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Solving Equations(154) - Linear Equations(64) - Simplifying Expressions by Collecting Like Terms(251)"
105;1;7;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Solving Equations(154) - Linear Equations(64) - Writing Expressions(70) - Simplifying Expressions by Collecting Like Terms(251) - Multiplying Terms(252)"
106;213;243;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Solving Equations(154) - Linear Equations(64) - Writing Expressions(70)"
107;20;18;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Writing Expressions(70) - Multiplying Terms(252)"
108;128;126;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Writing Expressions(70) - Simplifying Expressions by Collecting Like Terms(251) - Dividing Terms(253)"
109;252;209;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Writing Expressions(70) - Simplifying Expressions by Collecting Like Terms(251)"
110;1914;1782;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Writing Expressions(70)"
111;3;3;"Maths(3) - Algebra(49) - Writing and Simplifying Expressions(62) - Writing and Simplifying Expressions-Others(1174)"
112;129;100;"Maths(3) - Data and Statistics(101) - Data Collection(113) - Data Collection-Others(1188)"
113;198;182;"Maths(3) - Data and Statistics(101) - Data Collection(113) - Tally Charts(336)"
114;428;389;"Maths(3) - Data and Statistics(101) - Data Collection(113) - Types of Data and Questionnaires(337)"
115;32;15;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Averages (mean, median, mode) from a List of Data(102) - Range and Interquartile Range from a List of Data(339)"
116;2003;1786;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Averages (mean, median, mode) from a List of Data(102)"
117;113;152;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Averages and Range from Frequency Table(340)"
118;412;344;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Averages and Range from Grouped Data(103)"
119;27;17;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Data Representation(342) - Averages (mean, median, mode) from a List of Data(102) - Block Graphs and Bar Charts(106)"
120;19;7;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Data Representation(342) - Averages (mean, median, mode) from a List of Data(102) - Stem and Leaf Diagram(116)"
121;24;23;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Data Representation(342) - Block Graphs and Bar Charts(106) - Averages and Range from Frequency Table(340)"
122;33;21;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Data Representation(342) - Box Plots(104) - Range and Interquartile Range from a List of Data(339)"
123;31;26;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Interpreting and Comparing Data using Averages and Range(341)"
124;81;107;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Range and Interquartile Range from a List of Data(339)"
125;103;113;"Maths(3) - Data and Statistics(101) - Data Processing(338) - Sampling and Bias(114)"
126;1020;674;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Block Graphs and Bar Charts(106)"
127;207;207;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Box Plots(104)"
128;13;18;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Cumulative Frequency Diagram(105) - Histogram(107) - Pie Chart(109) - Stem and Leaf Diagram(116)"
129;161;127;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Cumulative Frequency Diagram(105)"
130;60;62;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Frequency Diagram and Frequency Polygon(343)"
131;298;327;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Frequency Trees(1650)"
132;323;230;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Histogram(107)"
133;524;488;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Pictogram(108)"
134;857;431;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Pie Chart(109)"
135;22;20;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Probability(348) - Venn Diagrams(344) - Probability with Venn Diagrams(353)"
136;1042;1318;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Scatter Diagram(115)"
137;654;170;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Stem and Leaf Diagram(116)"
138;498;450;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Time Series and Line Graphs(117)"
140;257;239;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Two Way Tables(118)"
141;141;149;"Maths(3) - Data and Statistics(101) - Data Representation(342) - Venn Diagrams(344)"
142;469;653;"Maths(3) - Data and Statistics(101) - Probability(348) - Combined Events(349)"
143;335;370;"Maths(3) - Data and Statistics(101) - Probability(348) - Experimental Probability and Relative Frequency(110)"
144;32;19;"Maths(3) - Data and Statistics(101) - Probability(348) - Probability of Single Events(111) - Combined Events(349)"
145;1250;1386;"Maths(3) - Data and Statistics(101) - Probability(348) - Probability of Single Events(111)"
146;367;477;"Maths(3) - Data and Statistics(101) - Probability(348) - Probability with Venn Diagrams(353)"
147;26;23;"Maths(3) - Data and Statistics(101) - Probability(348) - Tree Diagrams with Dependent Events(112) - Combined Events(349)"
148;112;172;"Maths(3) - Data and Statistics(101) - Probability(348) - Tree Diagrams with Dependent Events(112)"
149;371;422;"Maths(3) - Data and Statistics(101) - Probability(348) - Tree Diagrams with Independent Events(350)"
150;26;15;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - 2D Names and Properties of Shapes-Others(1213)"
151;79;65;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - Perimeter and Area(178) - Perimeter(86) - Properties of Triangles(175)"
152;80;53;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - Properties of Polygons(84) - Properties of Quadrilaterals(88)"
153;425;359;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - Properties of Polygons(84)"
154;562;477;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - Properties of Quadrilaterals(88)"
155;212;191;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - Properties of Triangles(175)"
156;8;4;"Maths(3) - Geometry and Measure(71) - 2D Names and Properties of Shapes(174) - Similarity and Congruency(272) - Congruency in Triangles(80) - Properties of Quadrilaterals(88)"
157;138;50;"Maths(3) - Geometry and Measure(71) - 3D Shapes(176) - 3D Shapes-Others(1214)"
158;106;106;"Maths(3) - Geometry and Measure(71) - 3D Shapes(176) - Isometric Drawings(657)"
159;381;388;"Maths(3) - Geometry and Measure(71) - 3D Shapes(176) - Names and Properties of 3D Shapes(177)"
160;380;365;"Maths(3) - Geometry and Measure(71) - 3D Shapes(176) - Nets(85)"
161;273;307;"Maths(3) - Geometry and Measure(71) - 3D Shapes(176) - Plans and Elevations(87)"
162;15;8;"Maths(3) - Geometry and Measure(71) - Angles(74) - 2D Names and Properties of Shapes(174) - Properties of Quadrilaterals(88) - Angles in Polygons(183)"
163;25;15;"Maths(3) - Geometry and Measure(71) - Angles(74) - 2D Names and Properties of Shapes(174) - Properties of Triangles(175) - Angles in Triangles(439)"
164;915;958;"Maths(3) - Geometry and Measure(71) - Angles(74) - Angle Facts with Parallel Lines(182)"
165;1966;1610;"Maths(3) - Geometry and Measure(71) - Angles(74) - Angles in Polygons(183)"
166;842;762;"Maths(3) - Geometry and Measure(71) - Angles(74) - Angles in Triangles(439)"
167;33;18;"Maths(3) - Geometry and Measure(71) - Angles(74) - Basic Angle Facts (straight line, opposite, around a point, etc)(181) - Angle Facts with Parallel Lines(182)"
168;83;43;"Maths(3) - Geometry and Measure(71) - Angles(74) - Basic Angle Facts (straight line, opposite, around a point, etc)(181) - Angles in Polygons(183)"
169;139;162;"Maths(3) - Geometry and Measure(71) - Angles(74) - Basic Angle Facts (straight line, opposite, around a point, etc)(181) - Angles in Triangles(439)"
170;1667;1410;"Maths(3) - Geometry and Measure(71) - Angles(74) - Basic Angle Facts (straight line, opposite, around a point, etc)(181)"
171;474;437;"Maths(3) - Geometry and Measure(71) - Angles(74) - Bearings(76)"
172;354;470;"Maths(3) - Geometry and Measure(71) - Angles(74) - Circle Theorems(78)"
173;490;519;"Maths(3) - Geometry and Measure(71) - Angles(74) - Measuring Angles(180)"
174;20;33;"Maths(3) - Geometry and Measure(71) - Angles(74) - Similarity and Congruency(272) - Congruency in Triangles(80) - Angles in Triangles(439)"
175;43;59;"Maths(3) - Geometry and Measure(71) - Angles(74) - Similarity and Congruency(272) - Length Scale Factors in Similar Shapes(90) - Angle Facts with Parallel Lines(182)"
176;694;599;"Maths(3) - Geometry and Measure(71) - Angles(74) - Types, Naming and Estimating(73)"
177;40;36;"Maths(3) - Geometry and Measure(71) - Basic Trigonometry(97) - 3D Trigonometry(1651)"
178;108;106;"Maths(3) - Geometry and Measure(71) - Basic Trigonometry(97) - Area of Non Right-angled Triangles(281)"
179;339;253;"Maths(3) - Geometry and Measure(71) - Basic Trigonometry(97) - Exact Values of Trigonometric Ratios(282)"
180;378;378;"Maths(3) - Geometry and Measure(71) - Basic Trigonometry(97) - Non Right-angled Triangles (Sine and Cosine Rules)(280)"
181;64;52;"Maths(3) - Geometry and Measure(71) - Basic Trigonometry(97) - Pythagoras(271) - 2D Pythagoras(89) - Right-angled Triangles (SOHCAHTOA)(279)"
182;1051;916;"Maths(3) - Geometry and Measure(71) - Basic Trigonometry(97) - Right-angled Triangles (SOHCAHTOA)(279)"
183;44;85;"Maths(3) - Geometry and Measure(71) - Basic Vectors(99) - Add and Subtract Vectors(283) - Vector Geometry(284)"
184;72;80;"Maths(3) - Geometry and Measure(71) - Basic Vectors(99) - Add and Subtract Vectors(283)"
185;19;19;"Maths(3) - Geometry and Measure(71) - Basic Vectors(99) - Transformations(278) - Translation and Vectors(95) - Add and Subtract Vectors(283)"
186;44;41;"Maths(3) - Geometry and Measure(71) - Basic Vectors(99) - Transformations(278) - Translation and Vectors(95) - Basic Vectors-Others(1185)"
187;69;69;"Maths(3) - Geometry and Measure(71) - Basic Vectors(99) - Transformations(278) - Translation and Vectors(95) - Vector Geometry(284)"
188;85;83;"Maths(3) - Geometry and Measure(71) - Basic Vectors(99) - Vector Geometry(284)"
189;874;721;"Maths(3) - Geometry and Measure(71) - Circles(77) - Area of a Circle(186)"
190;73;37;"Maths(3) - Geometry and Measure(71) - Circles(77) - Circumference(185) - Area of a Circle(186)"
191;21;16;"Maths(3) - Geometry and Measure(71) - Circles(77) - Circumference(185) - Sectors of a Circle(187)"
192;502;503;"Maths(3) - Geometry and Measure(71) - Circles(77) - Circumference(185)"
193;454;455;"Maths(3) - Geometry and Measure(71) - Circles(77) - Parts of a Circle(184)"
194;6;8;"Maths(3) - Geometry and Measure(71) - Circles(77) - Perimeter and Area(178) - Area of Simple Shapes(75) - Area of a Circle(186)"
195;265;282;"Maths(3) - Geometry and Measure(71) - Circles(77) - Sectors of a Circle(187)"
196;149;145;"Maths(3) - Geometry and Measure(71) - Compound Measures(79) - Density(270)"
197;49;60;"Maths(3) - Geometry and Measure(71) - Compound Measures(79) - Pressure(1750)"
198;219;336;"Maths(3) - Geometry and Measure(71) - Compound Measures(79) - Speed, Distance, Time(269)"
199;16;14;"Maths(3) - Geometry and Measure(71) - Compound Measures(79) - Units of Measurement(98) - Density(270) - Units of Measurement-Others(1184) - Pressure(1750)"
200;47;41;"Maths(3) - Geometry and Measure(71) - Compound Measures(79) - Units of Measurement(98) - Length Units(195) - Speed, Distance, Time(269)"
201;14;11;"Maths(3) - Geometry and Measure(71) - Compound Measures(79) - Units of Measurement(98) - Temperature units(199) - Compound Measures-Others(1179)"
202;483;319;"Maths(3) - Geometry and Measure(71) - Construction, Loci and Scale Drawing(83) - Construct Angle and Line Bisectors(192)"
203;19;7;"Maths(3) - Geometry and Measure(71) - Construction, Loci and Scale Drawing(83) - Construct Triangle(191)"
204;485;372;"Maths(3) - Geometry and Measure(71) - Construction, Loci and Scale Drawing(83) - Loci Scenarios(193)"
205;261;222;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Area of Simple Shapes(75) - Perimeter(86)"
206;3127;2795;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Area of Simple Shapes(75)"
207;456;360;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Compound Area(179)"
208;420;398;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Missing Lengths(655)"
209;239;196;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Perimeter(86) - Missing Lengths(655)"
210;2776;2473;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Perimeter(86)"
211;26;10;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Pythagoras(271) - Perimeter(86) - 2D Pythagoras(89)"
212;52;96;"Maths(3) - Geometry and Measure(71) - Perimeter and Area(178) - Similarity and Congruency(272) - Transformations(278) - Perimeter(86) - Length Scale Factors in Similar Shapes(90) - Enlargement(94)"
213;1361;1064;"Maths(3) - Geometry and Measure(71) - Pythagoras(271) - 2D Pythagoras(89)"
214;145;118;"Maths(3) - Geometry and Measure(71) - Pythagoras(271) - 3D Pythagoras(72)"
215;193;187;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Congruency in Other Shapes(274)"
216;49;86;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Congruency in Triangles(80) - Congruency in Other Shapes(274)"
217;266;267;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Congruency in Triangles(80)"
218;27;17;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Length Scale Factors in Similar Shapes(90) - Length, Area and Volume Scale Factors(273)"
219;576;668;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Length Scale Factors in Similar Shapes(90)"
220;96;106;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Length, Area and Volume Scale Factors(273)"
221;9;23;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Similarity and Congruency-Others(1218)"
222;85;142;"Maths(3) - Geometry and Measure(71) - Similarity and Congruency(272) - Transformations(278) - Length Scale Factors in Similar Shapes(90) - Enlargement(94)"
223;20;27;"Maths(3) - Geometry and Measure(71) - Symmetry(91) - 2D Names and Properties of Shapes(174) - Properties of Polygons(84) - Line Symmetry(275)"
224;16;16;"Maths(3) - Geometry and Measure(71) - Symmetry(91) - 2D Names and Properties of Shapes(174) - Properties of Polygons(84) - Rotational Symmetry(276)"
225;48;60;"Maths(3) - Geometry and Measure(71) - Symmetry(91) - 3D Plane Symmetry(277)"
226;425;143;"Maths(3) - Geometry and Measure(71) - Symmetry(91) - Line Symmetry(275)"
227;64;5;"Maths(3) - Geometry and Measure(71) - Symmetry(91) - Rotational Symmetry(276)"
228;2;2;"Maths(3) - Geometry and Measure(71) - Symmetry(91) - Symmetry-Others(1182)"
229;18;18;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Combined Transformations(96)"
230;421;500;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Enlargement(94)"
231;16;10;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Reflection(92) - Rotation(93) - Enlargement(94) - Translation and Vectors(95)"
232;10;4;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Reflection(92) - Translation and Vectors(95)"
233;450;437;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Reflection(92)"
